Id,Price
1,445961.00712913164
2,741669.6320776294
3,1014488.4862791356
4,535693.3861473483
5,1195250.0224509407
6,253498.42238873267
7,1151213.002268355
8,444814.5701041251
9,740961.8320745841
10,371176.94189514057
11,306178.63178549457
12,439350.7463264974
13,754097.6498698134
14,368768.9157723383
15,494660.2415689899
16,705256.0927178257
17,1058813.4067291452
18,518966.665458092
19,608047.0780715452
20,357121.6761375536
21,361137.1864204742
22,343409.6031242135
23,488953.1665686698
24,618165.2909261088
25,594147.7143755432
26,445690.8994053507
27,464530.9547683632
28,376473.8242453223
29,275697.10461015167
30,330141.7500876307
31,493628.3180802799
32,331857.38405769377
33,576918.6632937118
34,658716.0156467082
35,425124.6548042211
36,509236.82635179453
37,458693.79356948286
38,679461.2891682094
39,758602.7573276991
40,316787.5834937687
41,230728.56527275822
42,313014.3270007786
43,262734.7236675437
44,199261.04306679065
45,246653.6916466314
46,680133.0388521797
47,424530.6331330492
48,341890.4886140153
49,320801.7887001301
50,495046.9052040789
51,623961.2112464744
52,274604.66903511144
53,614537.4277500084
54,299249.03275029734
55,435104.2844253313
56,380009.46912925225
57,763997.7189300245
58,212061.3427349906
59,222666.79215992324
60,515238.1950765669
61,367154.8858994542
62,709495.99472788
63,228437.59905144782
64,495783.23866002116
65,402277.02700293984
66,1131338.995196013
67,669069.0699705434
68,668662.2992555489
69,299773.7444495733
70,684707.6231623
71,389632.33544133906
72,399781.68985811877
73,736205.4901734778
74,785974.5806317894
75,331863.3233248982
76,291647.1616607672
77,543430.8748758244
78,1377966.747850547
79,335411.5012165114
80,320980.6754828619
81,589477.5687683336
82,841653.1085993605
83,309059.50947205356
84,1013536.200129724
85,291984.03836128116
86,564852.5986497131
87,439852.92711358325
88,580316.9598950858
89,812795.6310027703
90,269355.8023715253
91,263194.7218124155
92,304377.2551439807
93,322846.6791601232
94,1754948.7399605175
95,303151.41208246123
96,1120573.9858217665
97,881387.5403259386
98,607776.9123023447
99,342561.37395231845
100,334423.16431887535
101,316921.5251031615
102,627272.2673044198
103,344252.96149639384
104,770911.2216842228
105,725240.4013786517
106,227552.13938231664
107,215271.36154655513
108,230454.3529000514
109,297069.10027050535
110,340285.50267640705
111,297593.27927115327
112,1239554.449904098
113,456690.7294049048
114,311371.0862080278
115,508390.9663547922
116,241382.84923797773
117,321583.82529920636
118,437184.62544698775
119,442790.08522170666
120,1070276.9032109324
121,269904.2185235614
122,425101.8553328176
123,1284099.4459907417
124,1477385.244710357
125,1745617.2676918777
126,385631.4196062027
127,776667.842658601
128,425596.09197161515
129,834059.7459339976
130,324833.7494817169
131,1666304.6389727017
132,523939.19205791614
133,392740.150210845
134,594709.9816995009
135,237774.2286170223
136,485092.64007853274
137,426684.69033196906
138,438130.91614752566
139,233854.4526550968
140,451796.6390430627
141,512405.6471119015
142,763479.8063462772
143,455765.6463442002
144,742734.2165877098
145,427415.7072321395
146,585496.8538601827
147,387786.71113109135
148,510936.013457907
149,500748.5236818558
150,299744.4942545679
151,1144531.626415388
152,1468157.9394754136
153,522778.4966728368
154,323104.1413332682
155,425057.43722829106
156,558092.815292646
157,350493.1079689061
158,399105.45423475356
159,737549.3223343425
160,357885.1229644327
161,334485.2149369509
162,467871.18645296356
163,930844.2412804918
164,455785.0763380012
165,223835.32471706078
166,640845.8121210521
167,1274434.6078938958
168,556799.1906109934
169,412747.71812744427
170,436173.7507110399
171,736609.9888720891
172,235630.1163285851
173,516927.9647916208
174,515638.4087656424
